,ESGV,XLC,PICK,TSLA,COPX,ICLN,MRNA,QQQ,TAN,TTWO,PFE,PBW,OGIG,,,,,,,,,,,,,
,0.024878945,0.030965078,0.040545661,0.015341604,0.062027231,0.102777778,0,0.021370255,0.137524994,0.066699183,-0.000823045,0.120567376,0.009000243,,,,,,,,,,,,,
,0.004072988,-0.001668613,0.015294975,0.136297928,-0.011396011,0.013853904,-0.066801619,0.002541717,0.00703125,-0.008859168,-0.009884679,0.018603759,-0.017839923,,,,,,,,,,,,,
,0.012980691,0.015376901,-0.013988522,0.241897377,0.022574448,0.011801242,-0.039045553,0.035677543,0.017067494,-0.001557004,0.0213533,0.010167577,0.048846343,,,,,,,,,,,,,
,0.033157136,0.046255144,0.019279738,0.079707317,0.026303429,0.055862492,0.015650865,0.037818853,0.084286804,-0.0120134,-0.024979636,0.062255359,0.054762462,,,,,,,,,,,,,
,-0.027596899,-0.028005035,-0.003211991,-0.055028463,0.01784897,-0.063953488,-0.072455179,-0.030595153,-0.09426662,-0.054659184,-0.040657199,-0.059659589,-0.043487908,,,,,,,,,,,,,
,-0.026307398,-0.032372936,0.008950949,-0.109007458,-0.006744604,0.005590062,-0.052076677,-0.046300867,0.02368932,-0.050584379,-0.008127721,0.001306214,-0.033170958,,,,,,,,,,,,,
,-0.002619944,-0.017397123,0.017388219,0.186279245,0.024898144,0.032736257,0.177451972,-0.013237197,0.047420334,0.03230639,0.015510682,0.068020872,0.003358925,,,,,,,,,,,,,
,-0.006074536,-0.003745318,-0.06975933,-0.078728938,-0.096731449,0.004784689,-0.005724918,0.0175741,0.043824701,0.045996593,-0.015850144,-0.014831618,0.030129125,,,,,,,,,,,,,
,0.019821606,0.009227614,0.004874391,0.019025875,0.012713936,0.135714286,-0.009500504,0.010126676,0.155274115,-0.033960671,0.009077599,0.107686858,0.0318013,,,,,,,,,,,,,
,0.041950113,0.021503556,0.048134328,0.045556385,0.038145823,0.121593291,0.060892312,0.04155882,0.136206638,0.009303778,0.01131747,0.128397825,0.057367829,,,,,,,,,,,,,
,0.002487176,0.007458976,-0.014595942,0.013064516,-0.013953488,-0.023831776,0.012876712,0.009800147,-0.028416601,0.040707746,0.031563845,-0.018704832,0.008510638,,,,,,,,,,,,,
,-0.005582261,0.021882198,0.023482659,-0.043305206,0.058490566,-0.032072762,-0.046118474,-0.013067138,-0.032512583,-0.02253002,0.006119611,-0.022382671,-0.003797468,,,,,,,,,,,,,
,-0.055980041,-0.046852359,-0.058948112,-0.07747902,-0.041889483,-0.03264095,-0.043385793,-0.053943949,-0.033042745,-0.057836161,-0.070776887,-0.064697194,-0.047225752,,,,,,,,,,,,,
,0.077964982,0.076013514,0.075393848,0.10800433,0.088372093,0.096625767,0.073810582,0.093659514,0.098589501,0.130841725,0.025885153,0.155716993,0.117803956,,,,,,,,,,,,,
,0.012565124,0.006436421,0.042553191,-0.049889522,0.023076923,0.011655012,0.233816425,-0.01249109,-0.025281271,-0.076260061,0.061194896,0.032522547,-0.051103599,,,,,,,,,,,,,
,-0.003177966,-0.003587584,0.032117765,0.198555692,0.058061821,0.01797235,0.091956595,-0.001890489,0.059478544,0.050794043,0.003006286,0.119507676,0.034367142,,,,,,,,,,,,,
,0.026719296,0.027395116,0.067747164,0.196380793,0.063560995,0.067904029,0.301403545,0.029719678,0.094847475,0.037400764,0.014441417,0.125428538,0.031807131,,,,,,,,,,,,,
